0,1,2,3,4,5,6,7,8,9,10,11,12,13
DeepSpeech,4608,1536,16,512,768.0,16,1,0,0,F2,1.279575759592602,4.36,1.7897734425388137
DeepSpeech,8448,2816,16,512,939.0,16,1,0,0,F2,1.242913151530734,5.64,1.8006569924001854
DeepSpeech,6144,2048,32,384,1024.0,32,1,0,0,F2,1.3734109002184942,9.36,3.3954133058277014
DeepSpeech,4608,1536,32,256,1536.0,32,0,0,1,F1,1.3045175628279186,9.06,3.4238868611164746
DeepSpeech,8448,2816,32,128,2816.0,32,0,0,1,F1,1.3151359747877103,11.03,3.4219921481298687
DeepSpeech,512,2816,24000,384,509.0,368,1,0,0,F2,1.4999806410729324,14.36,11.35665612495351
DeepSpeech,512,2048,24000,128,2048.0,224,0,0,1,F1,1.4609782680433194,14.04,12.61273888793832
DeepSpeech,512,2560,24000,384,509.0,368,1,0,0,F2,1.4999806410729324,14.13,11.35665612495351
DeepSpeech,512,1530,24000,128,1530.0,352,0,0,1,F1,1.3464064156166942,12.71,13.17950212236087
DeepSpeech,1024,2816,24000,384,509.0,368,1,0,0,F2,1.4999806410729324,14.11,11.35665612495351
DeepSpeech,1024,2048,24000,128,2048.0,224,0,0,1,F1,1.4609782680433194,12.82,12.61273888793832
DeepSpeech,1024,2560,24000,384,509.0,368,1,0,0,F2,1.4999806410729324,13.54,11.35665612495351
DeepSpeech,1024,1530,24000,128,1530.0,352,0,0,1,F1,1.3464064156166942,12.75,13.17950212236087
DeepSpeech,512,512,16,512,512.0,16,0,0,1,F1,1.331572258488623,0.65,1.7359710405938031
DeepSpeech,1024,512,16,512,512.0,16,0,0,1,F1,1.331572258488623,1.2,1.7359710405938031
DeepSpeech,512,2816,48000,384,509.0,368,1,0,0,F2,1.4999806410729324,14.11,11.35665612495351
DeepSpeech,512,2048,48000,128,2048.0,224,0,0,1,F1,1.4609782680433194,12.9,12.61273888793832
DeepSpeech,512,2560,48000,384,509.0,368,1,0,0,F2,1.4999806410729324,12.77,11.35665612495351
DeepSpeech,512,1530,48000,128,1530.0,352,0,0,1,F1,1.3464064156166942,12.85,13.17950212236087
DeepSpeech,1024,2816,48000,384,509.0,368,1,0,0,F2,1.4999806410729324,14.03,11.35665612495351
DeepSpeech,1024,2048,48000,128,2048.0,224,0,0,1,F1,1.4609782680433194,14.19,12.61273888793832
DeepSpeech,1024,2560,48000,384,509.0,368,1,0,0,F2,1.4999806410729324,14.22,11.35665612495351
DeepSpeech,1024,1530,48000,128,1530.0,352,0,0,1,F1,1.3464064156166942,14.05,13.17950212236087
DeepSpeech,512,512,32,512,512.0,32,0,0,1,F1,1.409783890142276,1.2,3.3350555096998327
DeepSpeech,1024,512,32,512,512.0,32,0,0,1,F1,1.409783890142276,2.4,3.3350555096998327
