0,1,2,3,4,5
35.0,1760.0,8457.0,0,5.43,0
35.0,2048.0,8457.0,0,5.59,0
35.0,2560.0,8457.0,0,5.97,0
35.0,4096.0,8457.0,0,6.41,0
35.0,1760.0,8457.0,0,5.03,0
35.0,2048.0,8457.0,0,5.54,0
35.0,2560.0,8457.0,0,5.3,0
35.0,4096.0,8457.0,0,6.06,0
