0,1,2,3,4,5
1760.0,1760.0,16.0,1.56798472195,2.61,2.08220724316
1760.0,1760.0,32.0,1.70205189648,4.96,4.46493271646
1760.0,1760.0,64.0,1.97017545973,7.62,10.0886302394
1760.0,1760.0,128.0,1.7896276681,9.01,20.2553104422
2048.0,2048.0,16.0,1.50569829959,3.27,2.09407091822
2048.0,2048.0,32.0,1.63848896273,6.39,4.50703400792
2048.0,2048.0,64.0,1.90405970768,9.26,10.2481218566
2048.0,2048.0,128.0,1.9999642456,11.07,20.6344088145
2560.0,2560.0,16.0,1.42956939616,4.19,2.10938721561
2560.0,2560.0,32.0,1.56079983505,8.07,4.56268100483
2560.0,2560.0,64.0,1.82325037879,11.98,10.462793325
2560.0,2560.0,128.0,1.99997033575,13.87,22.1356120036
4096.0,4096.0,16.0,1.31537386729,5.16,2.13437507518
4096.0,4096.0,32.0,1.44426387979,10.23,4.65661503373
4096.0,4096.0,64.0,1.70203393614,12.63,10.8348064565
4096.0,4096.0,128.0,1.99998036778,12.03,24.826707997
1760.0,1760.0,16.0,1.56798472195,2.36,2.08220724316
1760.0,1760.0,32.0,1.70205189648,4.41,4.46493271646
1760.0,1760.0,64.0,1.97017545973,7.08,10.0886302394
1760.0,1760.0,128.0,1.7896276681,8.62,20.2553104422
2048.0,2048.0,16.0,1.50569829959,2.92,2.09407091822
2048.0,2048.0,32.0,1.63848896273,5.59,4.50703400792
2048.0,2048.0,64.0,1.90405970768,7.9,10.2481218566
2048.0,2048.0,128.0,1.9999642456,10.85,20.6344088145
2560.0,2560.0,16.0,1.42956939616,3.55,2.10938721561
2560.0,2560.0,32.0,1.56079983505,7.11,4.56268100483
2560.0,2560.0,64.0,1.82325037879,10.23,10.462793325
2560.0,2560.0,128.0,1.99997033575,11.73,22.1356120036
4096.0,4096.0,16.0,1.31537386729,4.71,2.13437507518
4096.0,4096.0,32.0,1.44426387979,9.34,4.65661503373
4096.0,4096.0,64.0,1.70203393614,12.13,10.8348064565
4096.0,4096.0,128.0,1.99998036778,12.86,24.826707997
7680.0,2560.0,16.0,1.42956939616,0.0,2.12082225355
7680.0,2560.0,32.0,1.56079983505,0.0,4.60170020115
7680.0,2560.0,64.0,1.82325037879,0.0,10.6165542014
7680.0,2560.0,128.0,1.99997033575,0.0,22.7229722785
7680.0,2560.0,16.0,1.42956939616,0.0,2.12082225355
7680.0,2560.0,32.0,1.56079983505,0.0,4.60170020115
7680.0,2560.0,64.0,1.82325037879,0.0,10.6165542014
7680.0,2560.0,128.0,1.99997033575,0.0,22.7229722785
3072.0,1024.0,16.0,1.88632542813,0.0,2.06147175723
3072.0,1024.0,32.0,1.97359424262,0.0,4.26366506297
3072.0,1024.0,64.0,1.68535541347,0.0,8.9278928198
3072.0,1024.0,128.0,1.99778719056,0.0,20.0269853847
3072.0,1024.0,16.0,1.88632542813,0.0,2.06147175723
3072.0,1024.0,32.0,1.97359424262,0.0,4.26366506297
3072.0,1024.0,64.0,1.68535541347,0.0,8.9278928198
3072.0,1024.0,128.0,1.99778719056,0.0,20.0269853847
