0,1,2,3,4
1760.0,1760.0,16.0,2.61,1.98724666386
1760.0,1760.0,32.0,4.96,3.97445826565
1760.0,1760.0,64.0,7.62,7.94874750583
1760.0,1760.0,128.0,9.01,12.9073032686
2048.0,2048.0,16.0,3.27,1.98724462823
2048.0,2048.0,32.0,6.39,3.97444883734
2048.0,2048.0,64.0,9.26,7.94869558627
2048.0,2048.0,128.0,11.07,10.4505868012
2560.0,2560.0,16.0,4.19,1.98724073187
2560.0,2560.0,32.0,8.07,3.97443031219
2560.0,2560.0,64.0,11.98,7.94858627909
2560.0,2560.0,128.0,13.87,6.84643727025
4096.0,4096.0,16.0,5.16,1.98722757639
4096.0,4096.0,32.0,10.23,3.97436252843
4096.0,4096.0,64.0,12.63,5.63747674075
1760.0,1760.0,16.0,2.36,1.98724666386
1760.0,1760.0,32.0,4.41,3.97445826565
1760.0,1760.0,64.0,7.08,7.94874750583
1760.0,1760.0,128.0,8.62,12.9073032686
2048.0,2048.0,16.0,2.92,1.98724462823
2048.0,2048.0,32.0,5.59,3.97444883734
2048.0,2048.0,64.0,7.9,7.94869558627
2048.0,2048.0,128.0,10.85,10.4505868012
2560.0,2560.0,16.0,3.55,1.98724073187
2560.0,2560.0,32.0,7.11,3.97443031219
2560.0,2560.0,64.0,10.23,7.94858627909
2560.0,2560.0,128.0,11.73,6.84643727025
4096.0,4096.0,16.0,4.71,1.98722757639
4096.0,4096.0,32.0,9.34,3.97436252843
4096.0,4096.0,64.0,12.13,5.63747674075
7680.0,2560.0,16.0,0.0,1.98718949399
7680.0,2560.0,32.0,0.0,3.1983302837
7680.0,2560.0,16.0,0.0,1.98718949399
7680.0,2560.0,32.0,0.0,3.1983302837
3072.0,1024.0,16.0,0.0,1.98723656565
3072.0,1024.0,32.0,0.0,3.97440975767
3072.0,1024.0,64.0,0.0,7.94845197112
3072.0,1024.0,128.0,0.0,4.03142787877
3072.0,1024.0,16.0,0.0,1.98723656565
3072.0,1024.0,32.0,0.0,3.97440975767
3072.0,1024.0,64.0,0.0,7.94845197112
3072.0,1024.0,128.0,0.0,4.03142787877
