0,1,2,3,4,5
1760.0,1760.0,7000.0,0,14.07,0
2048.0,2048.0,7000.0,0,14.67,0
2560.0,2560.0,7000.0,0,14.42,0
4096.0,4096.0,7000.0,0,14.45,0
1760.0,1760.0,7000.0,0,13.46,0
2048.0,2048.0,7000.0,0,14.25,0
2560.0,2560.0,7000.0,0,13.95,0
4096.0,4096.0,7000.0,0,14.19,0
1760.0,1760.0,7133.0,0,14.09,0
2048.0,2048.0,7133.0,0,14.58,0
2560.0,2560.0,7133.0,0,15.04,0
4096.0,4096.0,7133.0,0,12.93,0
5124.0,1760.0,9124.0,0,13.41,0
35.0,1760.0,8457.0,0,5.43,0
5124.0,2048.0,9124.0,0,12.55,0
35.0,2048.0,8457.0,0,5.59,0
5124.0,2560.0,9124.0,0,13.42,0
35.0,2560.0,8457.0,0,5.97,0
5124.0,4096.0,9124.0,0,13.48,0
35.0,4096.0,8457.0,0,6.41,0
5124.0,1760.0,9124.0,0,13.29,0
35.0,1760.0,8457.0,0,5.03,0
5124.0,2048.0,9124.0,0,13.09,0
35.0,2048.0,8457.0,0,5.54,0
5124.0,2560.0,9124.0,0,13.34,0
35.0,2560.0,8457.0,0,5.3,0
5124.0,4096.0,9124.0,0,13.46,0
35.0,4096.0,8457.0,0,6.06,0
