0,1,2,3,4,5,6,7,8,9,10,11,12,13
DeepSpeech,4608,1536,16,512,768.0,16,1,0,0,F2,1.219023970535344,4.36,1.4267814238451408
DeepSpeech,8448,2816,16,512,939.0,16,1,0,0,F2,1.189918543331197,5.64,1.4350590509688947
DeepSpeech,6144,2048,32,128,2048.0,32,0,0,1,F1,1.2931847340621956,9.36,2.724345214815813
DeepSpeech,4608,1536,32,256,1536.0,32,0,0,1,F1,1.2297050008351607,9.06,2.7629450414867747
DeepSpeech,8448,2816,32,128,2816.0,32,0,0,1,F1,1.236986131281962,11.03,2.7628233831373716
DeepSpeech,512,2816,24000,384,509.0,368,0,1,0,F2,1.4999788854335732,14.36,10.61300839765092
DeepSpeech,512,2048,24000,128,2048.0,224,0,0,1,F1,1.499985231880604,14.04,12.511165676328702
DeepSpeech,512,2560,24000,384,509.0,368,0,1,0,F2,1.4999788854335732,14.13,10.61300839765092
DeepSpeech,512,1530,24000,128,1530.0,352,0,0,1,F1,1.4594698714596257,12.71,14.173659851628248
DeepSpeech,1024,2816,24000,384,509.0,368,0,1,0,F2,1.4999788854335732,14.11,10.61300839765092
DeepSpeech,1024,2048,24000,128,2048.0,224,0,0,1,F1,1.499985231880604,12.82,12.511165676328702
DeepSpeech,1024,2560,24000,384,509.0,368,0,1,0,F2,1.4999788854335732,13.54,10.61300839765092
DeepSpeech,1024,1530,24000,128,1530.0,352,0,0,1,F1,1.4594698714596257,12.75,14.173659851628248
DeepSpeech,512,512,16,512,512.0,16,0,0,1,F1,1.2574537278872584,0.65,1.3916072410841551
DeepSpeech,1024,512,16,512,512.0,16,0,0,1,F1,1.2574537278872584,1.2,1.3916072410841551
DeepSpeech,512,2816,48000,384,509.0,368,0,1,0,F2,1.4999788854335732,14.11,10.61300839765092
DeepSpeech,512,2048,48000,128,2048.0,224,0,0,1,F1,1.499985231880604,12.9,12.511165676328702
DeepSpeech,512,2560,48000,384,509.0,368,0,1,0,F2,1.4999788854335732,12.77,10.61300839765092
DeepSpeech,512,1530,48000,128,1530.0,352,0,0,1,F1,1.4594698714596257,12.85,14.173659851628248
DeepSpeech,1024,2816,48000,384,509.0,368,0,1,0,F2,1.4999788854335732,14.03,10.61300839765092
DeepSpeech,1024,2048,48000,128,2048.0,224,0,0,1,F1,1.499985231880604,14.19,12.511165676328702
DeepSpeech,1024,2560,48000,384,509.0,368,0,1,0,F2,1.4999788854335732,14.22,10.61300839765092
DeepSpeech,1024,1530,48000,128,1530.0,352,0,0,1,F1,1.4594698714596257,14.05,14.173659851628248
DeepSpeech,512,512,32,512,512.0,32,0,0,1,F1,1.3166182643522792,1.2,2.6887226959667476
DeepSpeech,1024,512,32,512,512.0,32,0,0,1,F1,1.3166182643522792,2.4,2.6887226959667476
